Source,Target,Weight,PopulationAmmount,Type
"AF","fa",0.50000,17000000,"undirected"
"AF","ps",0.43000,15000000,"undirected"
"AF","haz",0.05900,2100000,"undirected"
"AF","uz_Arab",0.04700,1600000,"undirected"
"AF","tk",0.01700,590000,"undirected"
"AF","prd",0.01200,420000,"undirected"
"AF","bal",0.00670,230000,"undirected"
"AF","bgn",0.00630,220000,"undirected"
"AF","ug",0.00009,3000,"undirected"
"AF","kk_Arab",0.00006,2000,"undirected"
"AX","sv",0.99000,26000,"undirected"
"AL","sq",1.00000,3100000,"undirected"
"AL","el",0.01900,58000,"undirected"
"AL","mk",0.00470,14000,"undirected"
"DZ","arq",0.83000,35000000,"undirected"
"DZ","ar",0.74000,31000000,"undirected"
"DZ","fr",0.20000,8300000,"undirected"
"DZ","kab",0.07800,3200000,"undirected"
"DZ","en",0.07000,2900000,"undirected"
"AS","sm",0.99000,50000,"undirected"
"AS","en",0.97000,49000,"undirected"
"AD","ca",0.51000,44000,"undirected"
"AD","es",0.43000,37000,"undirected"
"AD","fr",0.06700,5700,"undirected"
"AO","pt",0.67000,20000000,"undirected"
"AO","umb",0.29000,8800000,"undirected"
"AO","kmb",0.25000,7600000,"undirected"
"AO","ln",0.00670,200000,"undirected"
"AI","en",0.95000,17000,"undirected"
"AQ","und",1.00000,300,"undirected"
"AG","en",0.86000,82000,"undirected"
"AG","pt",0.01700,1600,"undirected"
"AR","es",1.00000,45000000,"undirected"
"AR","en",0.07000,3100000,"undirected"
"AR","cy",0.00065,29000,"undirected"
"AR","gn",0.00047,21000,"undirected"
"AM","hy",0.98000,3000000,"undirected"
"AM","ku",0.03300,100000,"undirected"
"AW","nl",0.97000,110000,"undirected"
"AW","pap",0.61000,71000,"undirected"
"AW","en",0.02600,3000,"undirected"
"AC","en",0.99000,930,"undirected"
"AU","en",0.96000,23000000,"undirected"
"AU","zh_Hant",0.02100,490000,"undirected"
"AU","it",0.01900,450000,"undirected"
"AU","wbp",0.00011,2600,"undirected"
"AT","de",0.97000,8500000,"undirected"
"AT","bar",0.95000,8400000,"undirected"
"AT","en",0.73000,6400000,"undirected"
"AT","fr",0.11000,970000,"undirected"
"AT","it",0.09000,790000,"undirected"
"AT","hr",0.01200,110000,"undirected"
"AT","sl",0.00370,33000,"undirected"
"AT","hu",0.00270,24000,"undirected"
"AZ","az",0.89000,8900000,"undirected"
"AZ","az_Cyrl",0.09900,990000,"undirected"
"AZ","tly",0.09800,980000,"undirected"
"AZ","ku",0.00240,24000,"undirected"
"AZ","ttt",0.00220,22000,"undirected"
"AZ","tkr",0.00160,16000,"undirected"
"BS","en",1.00000,330000,"undirected"
"BH","ar",0.87000,1300000,"undirected"
"BH","ml",0.03300,48000,"undirected"
"BD","bn",0.98000,160000000,"undirected"
"BD","en",0.18000,29000000,"undirected"
"BD","rkt",0.06500,10000000,"undirected"
"BD","syl",0.05000,8000000,"undirected"
"BD","ccp",0.00220,350000,"undirected"
"BD","my",0.00210,330000,"undirected"
"BD","grt",0.00073,120000,"undirected"
"BD","mro",0.00018,29000,"undirected"
"BD","mni",0.00011,18000,"undirected"
"BB","en",1.00000,290000,"undirected"
"BY","be",1.00000,9500000,"undirected"
"BY","ru",0.12000,1100000,"undirected"
"BE","en",0.59000,6800000,"undirected"
"BE","nl",0.55000,6400000,"undirected"
"BE","fr",0.38000,4400000,"undirected"
"BE","de",0.22000,2500000,"undirected"
"BE","vls",0.10000,1200000,"undirected"
"BE","wa",0.05800,670000,"undirected"
"BZ","en",1.00000,390000,"undirected"
"BZ","es",0.28000,110000,"undirected"
"BJ","fr",0.35000,4000000,"undirected"
"BJ","fon",0.25000,2800000,"undirected"
"BJ","yo",0.06700,760000,"undirected"
"BM","en",0.92000,65000,"undirected"
"BT","dz",0.47000,360000,"undirected"
"BT","ne",0.17000,130000,"undirected"
"BT","tsj",0.15000,110000,"undirected"
"BT","en",0.11000,84000,"undirected"
"BT","lep",0.03900,30000,"undirected"
"BO","es",0.61000,6900000,"undirected"
"BO","qu",0.32000,3600000,"undirected"
"BO","ay",0.20000,2300000,"undirected"
"BO","gn",0.00450,51000,"undirected"
"BO","aro",0.00001,110,"undirected"
"BA","bs",0.99000,3800000,"undirected"
"BA","bs_Cyrl",0.99000,3800000,"undirected"
"BA","en",0.45000,1700000,"undirected"
"BA","hr",0.12000,460000,"undirected"
"BA","sr",0.10000,380000,"undirected"
"BA","sr_Latn",0.10000,380000,"undirected"
"BW","en",0.81000,1800000,"undirected"
"BW","tn",0.62000,1400000,"undirected"
"BW","af",0.00270,6100,"undirected"
"BV","und",1.00000,1,"undirected"
"BR","pt",0.91000,190000000,"undirected"
"BR","en",0.08000,17000000,"undirected"
"BR","de",0.00840,1800000,"undirected"
"BR","it",0.00280,580000,"undirected"
"BR","ja",0.00210,440000,"undirected"
"BR","es",0.00037,77000,"undirected"
"BR","ko",0.00021,44000,"undirected"
"BR","kgp",0.00010,21000,"undirected"
"BR","gub",0.00008,18000,"undirected"
"BR","yrl",0.00005,11000,"undirected"
"BR","xav",0.00005,10000,"undirected"
"VG","en",0.98000,35000,"undirected"
"BN","ms",0.93000,420000,"undirected"
"BN","zh_Hant",0.11000,50000,"undirected"
"BN","ms_Arab",0.05000,23000,"undirected"
"BN","en",0.01800,8100,"undirected"
"BG","bg",1.00000,7100000,"undirected"
"BG","en",0.25000,1800000,"undirected"
"BG","ru",0.23000,1600000,"undirected"
"BG","tr",0.11000,780000,"undirected"
"BG","de",0.08000,560000,"undirected"
"BF","mos",0.40000,7900000,"undirected"
"BF","dyu",0.32000,6300000,"undirected"
"BF","fr",0.22000,4300000,"undirected"
"BI","rn",0.63000,7500000,"undirected"
"BI","fr",0.59000,7000000,"undirected"
"BI","sw",0.00054,6400,"undirected"
"BI","en",0.00053,6300,"undirected"
"KH","km",0.89000,15000000,"undirected"
"KH","cja",0.01600,260000,"undirected"
"KH","kdt",0.00110,18000,"undirected"
"CM","fr",0.68000,17000000,"undirected"
"CM","en",0.38000,9700000,"undirected"
"CM","bum",0.04600,1200000,"undirected"
"CM","ff",0.03600,920000,"undirected"
"CM","ewo",0.03100,790000,"undirected"
"CM","ybb",0.01600,410000,"undirected"
"CM","bbj",0.01400,360000,"undirected"
"CM","nnh",0.01400,360000,"undirected"
"CM","bkm",0.01300,330000,"undirected"
"CM","bas",0.01200,310000,"undirected"
"CM","bax",0.01200,310000,"undirected"
"CM","byv",0.01100,280000,"undirected"
"CM","mua",0.01000,260000,"undirected"
"CM","maf",0.00740,190000,"undirected"
"CM","bfd",0.00570,150000,"undirected"
"CM","bss",0.00540,140000,"undirected"
"CM","kkj",0.00540,140000,"undirected"
"CM","dua",0.00480,120000,"undirected"
"CM","mgo",0.00470,120000,"undirected"
"CM","ar",0.00390,100000,"undirected"
"CM","jgo",0.00340,87000,"undirected"
"CM","ksf",0.00320,82000,"undirected"
"CM","agq",0.00140,36000,"undirected"
"CM","ha_Arab",0.00140,36000,"undirected"
"CM","nmg",0.00035,9000,"undirected"
"CM","yav",0.00009,2300,"undirected"
"CA","en",0.86000,31000000,"undirected"
"CA","fr",0.22000,7900000,"undirected"
"CA","it",0.02000,720000,"undirected"
"CA","de",0.01900,680000,"undirected"
"CA","pdt",0.00240,86000,"undirected"
"CA","cr",0.00110,39000,"undirected"
"CA","crk",0.00110,39000,"undirected"
"CA","yi",0.00045,16000,"undirected"
"CA","iu",0.00042,15000,"undirected"
"CA","iu_Latn",0.00042,15000,"undirected"
"CA","moe",0.00033,12000,"undirected"
"CA","crj",0.00020,7200,"undirected"
"CA","atj",0.00016,5700,"undirected"
"CA","crl",0.00015,5400,"undirected"
"CA","csw",0.00014,5000,"undirected"
"CA","crm",0.00013,4700,"undirected"
"CA","ikt",0.00011,3900,"undirected"
"CA","moh",0.00010,3500,"undirected"
"CA","dgr",0.00007,2700,"undirected"
"CA","den",0.00006,2300,"undirected"
"CA","scs",0.00004,1300,"undirected"
"CA","nsk",0.00003,1200,"undirected"
"CA","chp",0.00002,750,"undirected"
"CA","gwi",0.00002,570,"undirected"
"IC","es",0.98000,2100000,"undirected"
"CV","kea",0.91000,520000,"undirected"
"CV","pt",0.76000,430000,"undirected"
"BQ","pap",0.81000,16000,"undirected"
"BQ","nl",0.08000,1600,"undirected"
"KY","en",0.98000,58000,"undirected"
"CF","fr",0.49000,2800000,"undirected"
"CF","sg",0.49000,2800000,"undirected"
"CF","ln",0.00240,14000,"undirected"
"EA","es",0.98000,150000,"undirected"
"TD","fr",0.26000,4100000,"undirected"
"TD","ar",0.17000,2700000,"undirected"
"CL","es",0.98000,18000000,"undirected"
"CL","en",0.09500,1700000,"undirected"
"CL","arn",0.01500,270000,"undirected"
"CN","zh",0.90000,1200000000,"undirected"
"CN","wuu",0.06000,83000000,"undirected"
"CN","yue_Hans",0.05200,72000000,"undirected"
"CN","hsn",0.02900,40000000,"undirected"
"CN","hak",0.02300,32000000,"undirected"
"CN","nan",0.01900,26000000,"undirected"
"CN","gan",0.01700,24000000,"undirected"
"CN","ii",0.00600,8300000,"undirected"
"CN","ug",0.00550,7600000,"undirected"
"CN","za",0.00310,4300000,"undirected"
"CN","mn_Mong",0.00260,3600000,"undirected"
"CN","bo",0.00200,2800000,"undirected"
"CN","ko",0.00150,2100000,"undirected"
"CN","kk_Arab",0.00086,1200000,"undirected"
"CN","lis",0.00045,620000,"undirected"
"CN","ky_Arab",0.00034,470000,"undirected"
"CN","nxq",0.00024,330000,"undirected"
"CN","khb",0.00019,260000,"undirected"
"CN","tdd",0.00019,260000,"undirected"
"CN","lcp",0.00006,80000,"undirected"
"CN","en",0.00005,62000,"undirected"
"CN","ru",0.00001,14000,"undirected"
"CN","vi",0.00001,6900,"undirected"
"CX","en",0.63000,1400,"undirected"
"CP","und",1.00000,1,"undirected"
"CC","ms_Arab",0.83000,490,"undirected"
"CC","en",0.17000,100,"undirected"
"CO","es",0.93000,45000000,"undirected"
"CO","guc",0.00270,130000,"undirected"
"KM","ar",0.66000,540000,"undirected"
"KM","fr",0.56000,460000,"undirected"
"KM","zdj",0.37000,300000,"undirected"
"KM","wni",0.34000,280000,"undirected"
"CG","fr",0.84000,4300000,"undirected"
"CG","ln",0.02400,120000,"undirected"
"CD","sw",0.50000,43000000,"undirected"
"CD","lua",0.09600,8200000,"undirected"
"CD","fr",0.03800,3200000,"undirected"
"CD","ln",0.03100,2600000,"undirected"
"CD","lu",0.02300,2000000,"undirected"
"CD","kg",0.01500,1300000,"undirected"
"CD","lol",0.00610,520000,"undirected"
"CD","rw",0.00380,320000,"undirected"
"CK","en",0.98000,8900,"undirected"
"CR","es",0.95000,4700000,"undirected"
"CI","fr",0.49000,13000000,"undirected"
"CI","bci",0.11000,2900000,"undirected"
"CI","sef",0.04300,1100000,"undirected"
"CI","dnj",0.04000,1100000,"undirected"
"CI","kfo",0.00230,60000,"undirected"
"CI","bqv",0.00170,45000,"undirected"
"HR","hr",0.99000,4200000,"undirected"
"HR","en",0.49000,2100000,"undirected"
"HR","it",0.01600,68000,"undirected"
"CU","es",1.00000,11000000,"undirected"
"CW","pap",0.81000,120000,"undirected"
"CW","nl",0.08000,12000,"undirected"
"CW","es",0.03800,5700,"undirected"
"CY","el",0.95000,1200000,"undirected"
"CY","en",0.73000,900000,"undirected"
"CY","tr",0.23000,280000,"undirected"
"CY","fr",0.07000,87000,"undirected"
"CY","hy",0.00220,2700,"undirected"
"CY","ar",0.00110,1400,"undirected"
"CZ","cs",0.98000,10000000,"undirected"
"CZ","en",0.27000,2900000,"undirected"
"CZ","sk",0.16000,1700000,"undirected"
"CZ","de",0.15000,1600000,"undirected"
"CZ","pl",0.00490,52000,"undirected"
"DK","da",0.93000,5400000,"undirected"
"DK","en",0.86000,5000000,"undirected"
"DK","de",0.47000,2700000,"undirected"
"DK","sv",0.13000,760000,"undirected"
"DK","fo",0.00380,22000,"undirected"
"DK","kl",0.00120,7000,"undirected"
"DG","en",0.99000,500,"undirected"
"DJ","aa",0.42000,370000,"undirected"
"DJ","so",0.41000,360000,"undirected"
"DJ","ar",0.07300,65000,"undirected"
"DJ","fr",0.02100,19000,"undirected"
"DM","en",0.94000,70000,"undirected"
"DO","es",0.78000,8000000,"undirected"
"DO","en",0.00078,8000,"undirected"
"EC","es",0.96000,16000000,"undirected"
"EC","qu",0.17000,2800000,"undirected"
"EC","qug",0.05700,940000,"undirected"
"EG","ar",0.94000,93000000,"undirected"
"EG","arz",0.64000,64000000,"undirected"
"EG","en",0.35000,35000000,"undirected"
"EG","el",0.00061,61000,"undirected"
"SV","es",0.89000,5500000,"undirected"
"GQ","es",0.87000,690000,"undirected"
"GQ","fan",0.51000,410000,"undirected"
"GQ","fr",0.08800,70000,"undirected"
"GQ","bvb",0.07900,63000,"undirected"
"ER","ti",0.60000,3600000,"undirected"
"ER","en",0.59000,3500000,"undirected"
"ER","tig",0.18000,1100000,"undirected"
"ER","ar",0.04900,290000,"undirected"
"ER","aa",0.03600,210000,"undirected"
"ER","ssy",0.03600,210000,"undirected"
"ER","byn",0.01300,78000,"undirected"
"EE","et",0.71000,880000,"undirected"
"EE","ru",0.56000,700000,"undirected"
"EE","en",0.50000,620000,"undirected"
"EE","fi",0.21000,260000,"undirected"
"EE","vro",0.05700,71000,"undirected"
"SZ","en",0.80000,870000,"undirected"
"SZ","ss",0.58000,630000,"undirected"
"SZ","zu",0.06800,74000,"undirected"
"SZ","ts",0.01700,18000,"undirected"
"ET","en",0.43000,47000000,"undirected"
"ET","am",0.33000,36000000,"undirected"
"ET","om",0.32000,35000000,"undirected"
"ET","so",0.06000,6500000,"undirected"
"ET","ti",0.06000,6500000,"undirected"
"ET","sid",0.03500,3800000,"undirected"
"ET","wal",0.01800,2000000,"undirected"
"ET","aa",0.01400,1500000,"undirected"
"FK","en",0.88000,2800,"undirected"
"FO","fo",0.95000,48000,"undirected"
"FJ","en",0.94000,870000,"undirected"
"FJ","hi",0.44000,410000,"undirected"
"FJ","hif",0.41000,380000,"undirected"
"FJ","fj",0.39000,360000,"undirected"
"FJ","rtm",0.00270,2500,"undirected"
"FI","fi",0.94000,5200000,"undirected"
"FI","en",0.70000,3900000,"undirected"
"FI","sv",0.44000,2400000,"undirected"
"FI","de",0.18000,1000000,"undirected"
"FI","ru",0.00810,45000,"undirected"
"FI","et",0.00110,6100,"undirected"
"FI","rmf",0.00090,5000,"undirected"
"FI","se",0.00036,2000,"undirected"
"FI","smn",0.00011,610,"undirected"
"FI","sms",0.00011,610,"undirected"
"FR","fr",0.99000,67000000,"undirected"
"FR","en",0.39000,26000000,"undirected"
"FR","es",0.13000,8800000,"undirected"
"FR","de",0.05000,3400000,"undirected"
"FR","oc",0.03000,2000000,"undirected"
"FR","it",0.01700,1100000,"undirected"
"FR","pt",0.01300,880000,"undirected"
"FR","pcd",0.01100,740000,"undirected"
"FR","gsw",0.00910,610000,"undirected"
"FR","br",0.00830,560000,"undirected"
"FR","co",0.00240,160000,"undirected"
"FR","ca",0.00170,110000,"undirected"
"FR","eu",0.00130,88000,"undirected"
"FR","nl",0.00130,88000,"undirected"
"FR","frp",0.00094,63000,"undirected"
"GF","fr",0.77000,150000,"undirected"
"GF","gcr",0.26000,52000,"undirected"
"GF","zh_Hant",0.02500,5000,"undirected"
"PF","fr",0.61000,180000,"undirected"
"PF","ty",0.31000,90000,"undirected"
"PF","zh_Hant",0.07800,23000,"undirected"
"GA","fr",0.63000,1300000,"undirected"
"GA","puu",0.09000,190000,"undirected"
"GM","en",0.40000,840000,"undirected"
"GM","man",0.29000,610000,"undirected"
"GE","ka",0.86000,4200000,"undirected"
"GE","xmf",0.11000,540000,"undirected"
"GE","ru",0.09000,440000,"undirected"
"GE","hy",0.07000,340000,"undirected"
"GE","ab",0.02200,110000,"undirected"
"GE","os",0.02200,110000,"undirected"
"GE","ku",0.00890,44000,"undirected"
"DE","de",0.91000,73000000,"undirected"
"DE","en",0.64000,51000000,"undirected"
"DE","fr",0.18000,14000000,"undirected"
"DE","bar",0.17000,14000000,"undirected"
"DE","nds",0.12000,9700000,"undirected"
"DE","nl",0.09000,7200000,"undirected"
"DE","it",0.07000,5600000,"undirected"
"DE","es",0.06000,4800000,"undirected"
"DE","ru",0.06000,4800000,"undirected"
"DE","vmf",0.06000,4800000,"undirected"
"DE","tr",0.02500,2000000,"undirected"
"DE","gsw",0.02300,1900000,"undirected"
"DE","da",0.02000,1600000,"undirected"
"DE","swg",0.01000,800000,"undirected"
"DE","hr",0.00790,640000,"undirected"
"DE","ku",0.00660,530000,"undirected"
"DE","el",0.00380,310000,"undirected"
"DE","ksh",0.00300,240000,"undirected"
"DE","pl",0.00290,230000,"undirected"
"DE","hsb",0.00016,13000,"undirected"
"DE","frr",0.00012,9700,"undirected"
"DE","dsb",0.00009,7000,"undirected"
"DE","frs",0.00003,2000,"undirected"
"DE","stq",0.00001,970,"undirected"
"GH","ak",0.39000,11000000,"undirected"
"GH","en",0.21000,5900000,"undirected"
"GH","ee",0.11000,3100000,"undirected"
"GH","abr",0.05000,1400000,"undirected"
"GH","gur",0.03500,980000,"undirected"
"GH","ada",0.03000,840000,"undirected"
"GH","gaa",0.02800,790000,"undirected"
"GH","nzi",0.01000,280000,"undirected"
"GH","ha",0.00870,240000,"undirected"
"GH","saf",0.00014,3900,"undirected"
"GI","en",0.80000,24000,"undirected"
"GI","es",0.50000,15000,"undirected"
"GR","el",0.99000,11000000,"undirected"
"GR","en",0.51000,5500000,"undirected"
"GR","fr",0.09000,970000,"undirected"
"GR","de",0.05000,540000,"undirected"
"GR","pnt",0.03700,400000,"undirected"
"GR","mk",0.01600,170000,"undirected"
"GR","tr",0.01200,130000,"undirected"
"GR","bg",0.00270,29000,"undirected"
"GR","sq",0.00093,10000,"undirected"
"GR","tsd",0.00002,200,"undirected"
"GL","kl",0.84000,48000,"undirected"
"GL","da",0.14000,8100,"undirected"
"GD","en",0.96000,110000,"undirected"
"GP","fr",0.90000,410000,"undirected"
"GU","en",0.91000,150000,"undirected"
"GU","ch",0.22000,37000,"undirected"
"GT","es",0.93000,15000000,"undirected"
"GT","quc",0.07000,1200000,"undirected"
"GG","en",1.00000,67000,"undirected"
"GN","fr",0.29000,3400000,"undirected"
"GN","ff",0.26000,3100000,"undirected"
"GN","man_Nkoo",0.23000,2700000,"undirected"
"GN","sus",0.11000,1300000,"undirected"
"GN","nqo",0.05000,590000,"undirected"
"GN","kpe",0.03800,450000,"undirected"
"GW","pt",1.00000,1800000,"undirected"
"GW","knf",0.02600,48000,"undirected"
"GY","en",1.00000,740000,"undirected"
"HT","ht",0.81000,8700000,"undirected"
"HT","fr",0.04700,510000,"undirected"
"HM","und",1.00000,1,"undirected"
"HN","es",0.78000,7200000,"undirected"
"HN","en",0.00440,40000,"undirected"
"HK","zh_Hant",0.95000,6900000,"undirected"
"HK","yue",0.90000,6500000,"undirected"
"HK","en",0.51000,3700000,"undirected"
"HK","zh",0.05000,360000,"undirected"
"HU","hu",1.00000,9800000,"undirected"
"HU","en",0.20000,2000000,"undirected"
"HU","de",0.18000,1800000,"undirected"
"HU","fr",0.03000,290000,"undirected"
"HU","ro",0.00990,97000,"undirected"
"HU","hr",0.00320,31000,"undirected"
"HU","sk",0.00110,11000,"undirected"
"HU","sl",0.00051,5000,"undirected"
